"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 15 21:05:01 EEST 2024","Tue Oct 15 21:05:02 EEST 2024","1327","All Test Suite","C:\Users\Ahmed Osama\IdeaProjects\SimpleBooks","BookTests","BookTests","getSingleBook","getSingleBook",""
"passed","Tue Oct 15 21:05:05 EEST 2024","Tue Oct 15 21:05:06 EEST 2024","1249","All Test Suite","C:\Users\Ahmed Osama\IdeaProjects\SimpleBooks","OrderTests","OrderTests","submitOrderWithAuth","submitOrderWithAuth",""
"passed","Tue Oct 15 21:05:00 EEST 2024","Tue Oct 15 21:05:01 EEST 2024","1065","All Test Suite","C:\Users\Ahmed Osama\IdeaProjects\SimpleBooks","BookTests","BookTests","getBooksInvalidScenario","getBooksInvalidScenario",""
"passed","Tue Oct 15 21:05:02 EEST 2024","Tue Oct 15 21:05:03 EEST 2024","1318","All Test Suite","C:\Users\Ahmed Osama\IdeaProjects\SimpleBooks","Authentication","Authentication","apiAuthentication","apiAuthentication",""
"passed","Tue Oct 15 21:05:06 EEST 2024","Tue Oct 15 21:05:07 EEST 2024","1290","All Test Suite","C:\Users\Ahmed Osama\IdeaProjects\SimpleBooks","OrderTests","OrderTests","getOrder","getOrder",""
"passed","Tue Oct 15 21:04:58 EEST 2024","Tue Oct 15 21:05:00 EEST 2024","1275","All Test Suite","C:\Users\Ahmed Osama\IdeaProjects\SimpleBooks","BookTests","BookTests","getFictionBooks","getFictionBooks",""
"passed","Tue Oct 15 21:05:03 EEST 2024","Tue Oct 15 21:05:05 EEST 2024","1257","All Test Suite","C:\Users\Ahmed Osama\IdeaProjects\SimpleBooks","OrderTests","OrderTests","submitOrderWithoutAuth","submitOrderWithoutAuth",""
"passed","Tue Oct 15 21:05:08 EEST 2024","Tue Oct 15 21:05:10 EEST 2024","1129","All Test Suite","C:\Users\Ahmed Osama\IdeaProjects\SimpleBooks","OrderTests","OrderTests","deleteOrder","deleteOrder",""
"passed","Tue Oct 15 21:05:07 EEST 2024","Tue Oct 15 21:05:08 EEST 2024","1314","All Test Suite","C:\Users\Ahmed Osama\IdeaProjects\SimpleBooks","OrderTests","OrderTests","updateOrder","updateOrder",""
"passed","Tue Oct 15 21:04:55 EEST 2024","Tue Oct 15 21:04:58 EEST 2024","3119","All Test Suite","C:\Users\Ahmed Osama\IdeaProjects\SimpleBooks","StatusTest","StatusTest","checkAPIStatus","checkAPIStatus",""
